Trial ID,DOI,Makespan,Avg. Response Time,Mean Utilization,Avg. Iteration Count,Num. Cloudlets VM-0,Num. Cloudlets VM-1,Num. Cloudlets VM-2,Num. Cloudlets VM-3,Num. Cloudlets VM-4,Num. Cloudlets VM-5,Num. Cloudlets VM-6,Num. Cloudlets VM-7,Num. Cloudlets VM-8,Num. Cloudlets VM-9,Processing Time VM-0,Processing Time VM-1,Processing Time VM-2,Processing Time VM-3,Processing Time VM-4,Processing Time VM-5,Processing Time VM-6,Processing Time VM-7,Processing Time VM-8,Processing Time VM-9
WOA_Broker Trial 1,5.415561977184957,31.10499988555908,1.7750888832939993,0.7931758059089253,50.0,3,3,4,3,3,2,3,4,2,3,29.100999927520753,26.544333499272664,25.1,18.211000165939332,27.71,16.21,30.21,31.210999927520753,16.21,26.21
WOA_Broker Trial 2,3.8116120235462922,30.445333426793415,1.7025555555555552,0.8304469196983382,50.0,4,3,4,2,3,2,2,3,3,4,29.100999927520753,30.545333426793416,26.43100016593933,18.100999927520753,26.211000165939332,23.1,30.211000165939332,23.710999927520753,24.21,21.210999927520753
WOA_Broker Trial 3,6.096830511578511,33.11,1.94163331190745,0.714702505764375,50.0,3,3,2,1,3,2,3,3,6,4,22.711000165939332,28.210999927520753,12.350999927520752,15.209999999999999,22.210999927520753,21.210999927520753,25.100999927520753,26.210999927520753,33.21099992752075,30.21
WOA_Broker Trial 4,6.980391106265818,33.10899983406067,1.9007888722949555,0.7448307131024544,50.0,2,2,3,3,2,4,3,3,3,5,7.21,19.21,25.210999927520753,30.210999927520753,22.21,30.210999927520753,33.21,27.710999927520753,25.210999927520753,26.210999927520753
WOA_Broker Trial 5,7.4653381165829575,33.11,1.769155552440219,0.7174670290661329,50.0,2,3,3,1,3,3,2,4,4,5,13.709999999999999,25.544333499272664,22.43099992752075,7.211000165939331,27.710999927520753,23.210999927520753,25.210999927520753,29.102000093460084,33.21099992752075,30.210999927520753
WOA_Broker Trial 6,4.462841743747134,33.11099992752075,1.9675305469089082,0.7546975847199068,50.0,2,2,3,3,4,2,5,3,4,2,19.710999927520753,23.87766659418742,22.43225,33.21099992752075,26.600999927520753,21.212000093460084,30.21,29.211000165939332,24.210999927520753,19.211000165939332
WOA_Broker Trial 7,4.532841328395001,33.11,1.8331111048804383,0.7696838826373734,50.0,3,3,4,2,4,2,2,4,2,4,16.600999927520753,25.543333333333333,27.93100016593933,19.112,27.711000165939332,24.210999927520753,25.210999927520753,29.1,26.211000165939332,33.21099992752075
WOA_Broker Trial 8,5.133766368947199,33.11099968910217,1.8360111104117498,0.7367531496992189,50.0,2,3,4,3,3,2,2,3,4,4,14.210999927520751,21.545333426793416,28.712000093460084,23.210999927520753,28.712000093460084,21.210999927520753,21.210999927520753,23.71,33.211999855041505,28.210999927520753
WOA_Broker Trial 9,4.263238382877118,30.11099992752075,1.6832999944686884,0.8612777198645827,50.0,3,4,3,3,3,1,3,4,3,3,29.21,21.544333260854085,30.210999927520753,26.211000165939332,27.71500011444092,15.21100016593933,25.102000093460084,28.711000165939332,27.211999855041505,28.211999855041505
WOA_Broker Trial 10,4.574060713221928,33.11,1.769333341280619,0.7678012694091244,50.0,4,2,3,3,3,3,2,4,3,3,28.711000165939332,23.82100016593933,25.210999927520753,24.211999855041505,23.711000165939332,30.21,16.210999927520753,27.71,33.21099992752075,21.211000165939332
WOA_Broker Trial 11,4.228883571018276,33.11100016593933,1.7885999937693275,0.782872756801212,50.0,4,2,3,3,3,2,4,3,3,3,24.210999927520753,19.210999927520753,22.431,30.21,26.600999927520753,33.21100016593933,30.21,27.71,24.210999927520753,21.210999927520753
WOA_Broker Trial 12,4.289979372511444,30.44333333333333,1.768344443745083,0.8395412238628623,50.0,2,3,3,2,3,3,3,3,3,5,26.712000093460084,30.544333260854085,26.352000093460084,23.210999927520753,29.21,21.21,16.210999927520753,23.712000093460084,28.210999927520753,30.210999927520753
WOA_Broker Trial 13,4.411991920281075,30.444333499272663,1.7386000048319492,0.8414614619358274,50.0,2,4,3,2,3,4,3,3,3,3,17.210999927520753,30.544333499272664,22.43099992752075,21.225000104904176,28.711000165939332,30.211000165939332,25.210999927520753,22.210999927520753,30.211000165939332,28.210999927520753
WOA_Broker Trial 14,4.710449100251762,33.11099992752075,1.7836666524887081,0.7634864560127221,50.0,2,3,3,3,3,2,3,3,4,4,22.710999927520753,22.820999927520752,27.960999927520753,27.210999927520753,26.211000165939332,15.210999927520751,25.1,22.211000165939332,33.21099992752075,30.15
WOA_Broker Trial 15,4.418418273571502,30.11099992752075,1.6877111079957745,0.8555345227116705,50.0,3,3,3,2,4,1,3,3,3,5,27.711999855041505,22.820999927520752,30.210999927520753,27.210999927520753,22.710999927520753,15.209999999999999,25.100999927520753,26.211000165939332,30.210999927520753,30.210999927520753
WOA_Broker Trial 16,2.934388578502981,31.11099992752075,1.7294555389616222,0.8581937806313592,50.0,4,3,3,2,3,2,3,3,3,4,26.21,23.87766659418742,26.43,23.211000165939332,31.210999927520753,27.21,30.210999927520753,22.210999927520753,30.210999927520753,26.21
WOA_Broker Trial 17,3.922610654286813,30.445333188374835,1.8556333278020218,0.8613022288910447,50.0,3,3,2,2,3,2,4,5,3,3,26.602000093460084,30.546333354314168,21.210999927520753,19.210999927520753,23.711000165939332,30.210999927520753,23.100999927520753,29.210999927520753,28.211000165939332,30.210999927520753
WOA_Broker Trial 18,4.824954112375555,31.107999906539916,1.7914555548561941,0.8377523488490655,50.0,2,3,3,3,3,3,3,3,3,4,14.209999999999999,23.820999927520752,28.712000093460084,23.211000165939332,31.210999927520753,27.1,30.210999927520753,23.710999927520753,28.21,30.210999927520753
WOA_Broker Trial 19,7.076615311280681,30.10999976158142,1.719344435797797,0.7904251125113436,50.0,4,3,4,3,3,1,4,3,2,3,27.710999927520753,22.820999927520752,30.210999927520753,25.1,29.210999927520753,15.209999999999999,28.210999927520753,22.100999927520753,7.21,30.210999927520753
WOA_Broker Trial 20,4.88440561488712,31.10999976158142,1.7535999889373777,0.8276952813093572,50.0,2,2,3,3,3,3,2,4,3,5,13.709999999999999,23.82,25.21,23.101000165939332,28.71,27.101000165939332,30.210999927520753,31.210999927520753,24.210999927520753,30.210999927520753
WOA_Broker Trial 21,4.695475824680186,33.10999976158142,1.8313888612323335,0.7579089941597938,50.0,3,2,3,3,2,4,2,4,4,3,29.100999927520753,19.76666666666667,25.21,27.100999927520753,17.21,33.21099992752075,21.210999927520753,23.710999927520753,30.210999927520753,24.210999927520753
WOA_Broker Trial 22,5.60620737903352,31.11099992752075,1.6859972270541719,0.7821357417949556,50.0,2,3,3,2,3,3,4,5,2,3,10.709999999999999,28.210999927520753,26.43125,25.211000165939332,23.711000165939332,27.211000165939332,18.211999855041505,31.210999927520753,28.210999927520753,24.210999927520753
WOA_Broker Trial 23,3.1174409930680698,31.11,1.7654388906055023,0.8608941397446725,50.0,3,2,3,2,3,3,3,5,3,3,22.65025,23.877666832606,22.43025,30.210999927520753,31.21,27.101000165939332,30.210999927520753,27.710999927520753,28.210999927520753,24.211000165939332
WOA_Broker Trial 24,5.712529630988703,30.11099992752075,1.7428555603875049,0.8141996852521501,50.0,5,2,3,3,3,2,2,3,5,2,29.211000165939332,23.87766659418742,30.210999927520753,23.210999927520753,22.210999927520753,30.210999927520753,11.1,27.71,28.211000165939332,19.21
WOA_Broker Trial 25,5.800402778704154,33.11,1.8139666452407834,0.7482543030234488,50.0,3,2,3,3,4,3,2,4,3,3,20.101000165939332,23.820999927520752,26.46,33.21,28.600999927520753,30.210999927520753,16.210999927520753,23.710999927520753,15.209999999999999,30.210999927520753
WOA_Broker Trial 26,4.914222558956246,33.11099992752075,1.8049666628519687,0.7639163234468803,50.0,2,3,3,2,2,3,4,5,3,3,23.711000165939332,26.544333260854085,21.21,16.21,19.71,25.210999927520753,30.210999927520753,28.711000165939332,28.210999927520753,33.21099992752075
WOA_Broker Trial 27,5.65659679294201,33.10999976158142,1.7481944364971582,0.7587566741827716,50.0,3,4,3,1,3,2,3,4,4,3,26.211000165939332,22.544333260854085,21.100999927520753,19.210999927520753,13.600999927520752,27.212000093460084,30.210999927520753,27.710999927520753,30.210999927520753,33.21099992752075
WOA_Broker Trial 28,5.297866465568878,33.11099992752075,1.8470777801937526,0.742945447723147,50.0,2,3,3,4,3,2,4,3,2,4,22.710999927520753,26.87766659418742,27.960999927520753,28.18099992752075,22.211000165939332,21.210999927520753,30.211000165939332,17.210999927520753,16.211000165939332,33.21099992752075
WOA_Broker Trial 29,4.341056978103805,30.11,1.738044435797797,0.8579519532941762,50.0,3,2,3,3,3,2,3,4,4,3,22.210999927520753,16.543333333333333,30.210999927520753,25.21,26.6,30.210999927520753,30.210999927520753,27.710999927520753,28.211000165939332,21.21
WOA_Broker Trial 30,4.5363147490920825,31.11099992752075,1.6898555500242443,0.772496331812658,50.0,3,3,3,3,3,3,2,5,2,3,26.710999927520753,25.544333260854085,21.210999927520753,25.101000165939332,28.711000165939332,21.210999927520753,15.209999999999999,31.210999927520753,19.21,26.210999927520753

